AD convert	AD den3	AD den4	AD den5	AD num3	AD num4	AD num5	AS den3	AS done	AS num3	M den3	M done	M num3	studentid	si
10.0	8.0	7.0	9.0	11.0	8.0	93.0	3.0	6.0	11.0	29.0	5.0	17.0	Stu_7644513df4b69108e87e5426da302ed4	-1.54
12.0	9.0	8.0	10.0	12.0	10.0	106.0	4.0	7.0	13.0	33.0	5.0	19.0	Stu_786c5c09059802fa86f48bec19fd0c24	-1.35
19.0	14.0	12.0	16.0	20.0	15.0	170.0	6.0	11.0	20.0	53.0	8.0	31.0	Stu_79a2e6c8ef8ba74e679017088b6b15a4	-0.46
17.0	13.0	11.0	14.0	18.0	14.0	155.0	5.0	10.0	18.0	48.0	8.0	28.0	Stu_7bb06a8cb80b4b050daf82fcb874e2b0	-0.67
14.0	10.0	9.0	11.0	14.0	11.0	123.0	4.0	8.0	15.0	38.0	6.0	22.0	Stu_7cbc9140ed08a7c3c8e8278fdc7cef52	-1.12
29.0	22.0	19.0	24.0	30.0	24.0	264.0	9.0	17.0	31.0	82.0	13.0	48.0	Stu_813270e73557b81053c247611977a3a2	0.86
23.0	17.0	15.0	19.0	24.0	19.0	209.0	7.0	13.0	25.0	65.0	10.0	38.0	Stu_81a593939ace4567cc9502471aedc42e	0.08
16.0	12.0	10.0	13.0	17.0	13.0	146.0	5.0	9.0	17.0	46.0	7.0	27.0	Stu_86b03d64567d9894296b57b4fae2bf4e	-0.79
28.0	21.0	18.0	23.0	29.0	23.0	251.0	9.0	16.0	30.0	78.0	12.0	46.0	Stu_89ae74d5d146a31945bd2a66fc0df306	0.67
18.0	13.0	12.0	15.0	19.0	15.0	164.0	6.0	11.0	19.0	51.0	8.0	30.0	Stu_8c46de996d2269e68f42677b2b705d42	-0.55
22.0	17.0	14.0	18.0	23.0	18.0	201.0	7.0	13.0	24.0	62.0	10.0	36.0	Stu_8ca54e7076e7f85bd2ddc58ae3e11d43	-0.03
22.0	16.0	14.0	18.0	23.0	18.0	196.0	7.0	13.0	23.0	61.0	10.0	36.0	Stu_9141f03631da3c164b089790e7f61e01	-0.09
19.0	14.0	12.0	16.0	20.0	16.0	174.0	6.0	11.0	21.0	54.0	9.0	32.0	Stu_92cb475ee1595e62eeefcc56868da00f	-0.4
29.0	22.0	19.0	24.0	30.0	24.0	264.0	9.0	17.0	31.0	82.0	13.0	48.0	Stu_96bee4a348a05aee775fd92c63611f2a	0.86
19.0	14.0	12.0	16.0	19.0	15.0	169.0	6.0	11.0	20.0	52.0	8.0	31.0	Stu_995bc0c2d4c5091fa9b22d1184fcc934	-0.48
21.0	16.0	14.0	18.0	22.0	17.0	192.0	7.0	12.0	23.0	60.0	10.0	35.0	Stu_995df8faacf9d9563ec63b48cc1b2dfe	-0.15
21.0	16.0	14.0	18.0	22.0	17.0	192.0	7.0	12.0	23.0	60.0	10.0	35.0	Stu_9b322c6c96b618a0ae09690b04bca85c	-0.15
28.0	21.0	18.0	23.0	29.0	23.0	251.0	9.0	16.0	30.0	78.0	12.0	46.0	Stu_9ba0657fa633f471b94e47db91607b77	0.67
15.0	11.0	9.0	12.0	15.0	12.0	134.0	5.0	9.0	16.0	42.0	7.0	24.0	Stu_9c564c2cae9a4f7a3a8fe5857c7ead24	-0.97
15.0	11.0	9.0	12.0	15.0	12.0	131.0	4.0	8.0	16.0	41.0	7.0	24.0	Stu_a612dfca2c247a86f829b45d33ac0e36	-1.01
13.0	9.0	8.0	10.0	13.0	10.0	114.0	4.0	7.0	13.0	35.0	6.0	21.0	Stu_a6b6afe2e29ff5764887853fe30209d0	-1.25
29.0	22.0	19.0	24.0	30.0	24.0	264.0	9.0	17.0	31.0	82.0	13.0	48.0	Stu_a855a6deb3e5b1d37aea267b6e1cfb83	0.86
30.0	23.0	19.0	25.0	31.0	25.0	274.0	9.0	18.0	32.0	85.0	14.0	50.0	Stu_ac20b1461f870f58d9f9f513ca4f224b	0.99
23.0	17.0	14.0	19.0	23.0	19.0	204.0	7.0	13.0	24.0	64.0	10.0	37.0	Stu_ad0a01172368ce16ad080bd647746b57	0.02
29.0	22.0	19.0	24.0	30.0	24.0	264.0	9.0	17.0	31.0	82.0	13.0	48.0	Stu_ada20dc75e0259449f6753670128772c	0.86
20.0	15.0	13.0	16.0	20.0	16.0	178.0	6.0	11.0	21.0	55.0	9.0	32.0	Stu_b632f815717f157db00f578ad3b48690	-0.35
7.0	5.0	4.0	6.0	7.0	5.0	60.0	2.0	4.0	7.0	19.0	3.0	11.0	Stu_bafb9ff02da279a219fa9e80525b0b0e	-2.0
16.0	12.0	10.0	13.0	17.0	13.0	144.0	5.0	9.0	17.0	45.0	7.0	26.0	Stu_bb65bcef8dc53d0f4799ba15f08a6701	-0.82
30.0	22.0	19.0	25.0	31.0	25.0	272.0	9.0	18.0	32.0	85.0	14.0	49.0	Stu_be87de63414b97c3b3176938f5676054	0.97
26.0	19.0	16.0	21.0	27.0	21.0	233.0	8.0	15.0	28.0	72.0	12.0	42.0	Stu_c0322ff35f8e31f1bf0c5f038ce72357	0.42
33.0	25.0	21.0	28.0	34.0	27.0	299.0	10.0	19.0	36.0	93.0	15.0	54.0	Stu_c169ab1aa2e3c81534954848348934bb	1.35
30.0	22.0	19.0	25.0	31.0	25.0	272.0	9.0	18.0	32.0	85.0	14.0	49.0	Stu_c2112576eeec01bee9205827514312a0	0.97
6.0	4.0	4.0	5.0	6.0	5.0	54.0	2.0	4.0	6.0	17.0	3.0	10.0	Stu_cdcbe7a6d6148d20d290494c830c3df0	-2.08
25.0	18.0	16.0	21.0	26.0	20.0	223.0	8.0	14.0	26.0	69.0	11.0	41.0	Stu_d0c458dbc886ad447c79a6194046ac63	0.28
30.0	22.0	19.0	25.0	31.0	25.0	272.0	9.0	18.0	32.0	85.0	14.0	49.0	Stu_d50fc0fd3f51e5ff3d0d53dff502a242	0.97
32.0	23.0	20.0	26.0	33.0	26.0	284.0	10.0	18.0	34.0	88.0	14.0	52.0	Stu_d6dae10954a6e7198bc6ed304985e27c	1.14
28.0	21.0	18.0	23.0	29.0	23.0	251.0	9.0	16.0	30.0	78.0	12.0	46.0	Stu_d77eccbc636aebefb5eae4657c10d895	0.67
29.0	22.0	19.0	24.0	30.0	24.0	264.0	9.0	17.0	31.0	82.0	13.0	48.0	Stu_da89493794fcadea32a104a400a601d0	0.86
29.0	21.0	18.0	24.0	30.0	24.0	259.0	9.0	17.0	31.0	80.0	13.0	47.0	Stu_df93f2bf27fbd5ca8c6473d322aa21d4	0.78
31.0	23.0	20.0	26.0	32.0	25.0	280.0	10.0	18.0	33.0	87.0	14.0	51.0	Stu_e084d18d4c148e93648b127d06935fb7	1.08
26.0	19.0	16.0	21.0	27.0	21.0	233.0	8.0	15.0	28.0	72.0	12.0	42.0	Stu_e08a8497fa072582100f169fbd923fd0	0.42
23.0	17.0	15.0	19.0	24.0	19.0	211.0	7.0	14.0	25.0	66.0	10.0	38.0	Stu_ea160e32cbf8b1dce3535619234826c6	0.11
